PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,,,,
MANCHESTER CCG,21: Appliances,10.02399,,MANCHESTER CCG,23: Stoma Appliances,252.1304,,MANCHESTER CCG,22: Incontinence Appliances,84.49896,,,,MANCHESTER CCG,21: Appliances,4.72537,,MANCHESTER CCG,23: Stoma Appliances,9.87302,,22: Incontinence Appliances,10.5809
MANCHESTER CCG,21: Appliances,2.32706,,MANCHESTER CCG,23: Stoma Appliances,84.75924,,MANCHESTER CCG,22: Incontinence Appliances,98.29395,,,,MANCHESTER CCG,21: Appliances,9.29863,,MANCHESTER CCG,23: Stoma Appliances,51.22796,,22: Incontinence Appliances,37.56406
MANCHESTER CCG,21: Appliances,3.02424,,MANCHESTER CCG,23: Stoma Appliances,50.6436,,MANCHESTER CCG,22: Incontinence Appliances,50.36473,,,,MANCHESTER CCG,21: Appliances,248.142,,MANCHESTER CCG,23: Stoma Appliances,20.06273,,22: Incontinence Appliances,50.65979
MANCHESTER CCG,21: Appliances,13.50007,,MANCHESTER CCG,23: Stoma Appliances,31.08521,,MANCHESTER CCG,22: Incontinence Appliances,74.98005,,,,MANCHESTER CCG,21: Appliances,11.1149,,MANCHESTER CCG,23: Stoma Appliances,344.36365,,22: Incontinence Appliances,25.39975
MANCHESTER CCG,21: Appliances,11.78709,,MANCHESTER CCG,23: Stoma Appliances,83.69952,,MANCHESTER CCG,22: Incontinence Appliances,243.78276,,,,MANCHESTER CCG,21: Appliances,144.92232,,MANCHESTER CCG,23: Stoma Appliances,14.76605,,22: Incontinence Appliances,12.35059
MANCHESTER CCG,21: Appliances,17.66207,,MANCHESTER CCG,23: Stoma Appliances,126.05126,,MANCHESTER CCG,22: Incontinence Appliances,48.61711,,,,MANCHESTER CCG,21: Appliances,241.52894,,MANCHESTER CCG,23: Stoma Appliances,294.97989,,22: Incontinence Appliances,24.69188
MANCHESTER CCG,21: Appliances,32.98159,,MANCHESTER CCG,23: Stoma Appliances,145.46092,,MANCHESTER CCG,22: Incontinence Appliances,24.90349,,,,MANCHESTER CCG,21: Appliances,15.93032,,MANCHESTER CCG,23: Stoma Appliances,193.30637,,22: Incontinence Appliances,49.52346
MANCHESTER CCG,21: Appliances,9.77301,,MANCHESTER CCG,23: Stoma Appliances,16.73247,,MANCHESTER CCG,22: Incontinence Appliances,195.02621,,,,MANCHESTER CCG,21: Appliances,12.82248,,MANCHESTER CCG,23: Stoma Appliances,72.82753,,22: Incontinence Appliances,15.08896
MANCHESTER CCG,21: Appliances,9.82878,,MANCHESTER CCG,23: Stoma Appliances,90.54124,,MANCHESTER CCG,22: Incontinence Appliances,1154.70759,,,,MANCHESTER CCG,21: Appliances,4.16652,,MANCHESTER CCG,23: Stoma Appliances,33.35714,,22: Incontinence Appliances,59.77837
MANCHESTER CCG,21: Appliances,32.12634,,MANCHESTER CCG,23: Stoma Appliances,116.90417,,MANCHESTER CCG,22: Incontinence Appliances,22.86771,,,,MANCHESTER CCG,21: Appliances,11.79792,,MANCHESTER CCG,23: Stoma Appliances,87.70226,,22: Incontinence Appliances,824.75149
MANCHESTER CCG,21: Appliances,7.36849,,MANCHESTER CCG,23: Stoma Appliances,55.30081,,MANCHESTER CCG,22: Incontinence Appliances,85.14037,,,,MANCHESTER CCG,21: Appliances,40.14409,,MANCHESTER CCG,23: Stoma Appliances,30.27107,,22: Incontinence Appliances,49.52346
